"country.code","country.name","gni.month","cost.usd.per.gb","percent.income","cost.usd.per.gb.bucket","percent.income.bucket"
"ABW","Aruba",1970.75,10.28,1.04,"10-20","1-3"
"ADO","Andorra",3592.5,35.87,2,"30-50","1-3"
"AFG","Afghanistan",56.67,8.29,29.25,"5-10","20-40"
"AGO","Angola",555.83,22.77,8.19,"20-30","5-10"
"AIA","Anguilla",1644.33,15.67,1.91,"10-20","1-3"
"ARE","United Arab Emirates",3716.67,26.04,1.4,"20-30","1-3"
"ARG","Argentina",1123.33,23.86,4.25,"20-30","3-5"
"ARM","Armenia",335,19.43,11.6,"10-20","10-20"
"AUS","Australia",5378.33,24.74,0.92,"20-30","0-1"
"AUT","Austria",4139.17,6.55,0.32,"5-10","0-1"
"AZE","Azerbaijan",632.5,9.1,2.88,"5-10","1-3"
"BEL","Belgium",3938.33,22.38,1.14,"20-30","1-3"
"BEN","Benin",74.17,11.38,30.68,"10-20","20-40"
"BFA","Burkina Faso",58.33,22.99,78.81,"20-30","40-"
"BGD","Bangladesh",90,3.42,7.59,"2-5","5-10"
"BGR","Bulgaria",635,46.07,14.51,"30-50","10-20"
"BHS","Bahamas",1748.33,17.42,1.99,"10-20","1-3"
"BLR","Belarus",611.67,2.84,0.93,"2-5","0-1"
"BLZ","Belize",362.5,9.7,5.35,"5-10","5-10"
"BMU","Bermuda",8845,59.87,1.35,"50-","1-3"
"BOL","Bolivia",239.17,8.18,6.84,"5-10","5-10"
"BRA","Brazil",960.83,19.2,4,"10-20","3-5"
"BRB","Barbados",1275.83,12.09,1.89,"10-20","1-3"
"BRN","Brunei Darussalam",3110,6.59,0.42,"5-10","0-1"
"BTN","Bhutan",197.5,3.24,3.28,"2-5","3-5"
"BWA","Botswana",603.33,54.2,17.97,"50-","10-20"
"CAN","Canada",4302.5,68.75,3.2,"50-","3-5"
"CHE","Switzerland",7343.33,17.01,0.46,"10-20","0-1"
"CHL","Chile",1242.5,14.66,2.36,"10-20","1-3"
"CHN","China",616.67,17.04,5.53,"10-20","5-10"
"CIV","Cote d'Ivoire",120.83,15.97,26.43,"10-20","20-40"
"CMR","Cameroon",112.5,7.5,13.33,"5-10","10-20"
"COG","Congo",226.67,27.11,23.92,"20-30","20-40"
"COK","Cook Islands",1250.25,53.4,8.54,"50-","5-10"
"COL","Colombia",664.17,8.43,2.54,"5-10","1-3"
"COM","Comoros",65.83,25.08,76.2,"20-30","40-"
"CPV","Cape Verde",287.5,13.62,9.47,"10-20","5-10"
"COD","Costa Rica",843.33,5.84,1.39,"5-10","1-3"
"CUB","Cuba",1543.33,1000,129.59,"50-","40-"
"CUW","Curacao",1680.58,13.17,1.57,"10-20","1-3"
"CYM","Cayman Islands",4439.25,18.98,0.86,"10-20","0-1"
"CZE","Czech Republic",1530.83,47.05,6.15,"30-50","5-10"
"DEU","Germany",3970,29.23,1.47,"20-30","1-3"
"DJI","Djibouti",161.33,64.32,79.74,"50-","40-"
"DNK","Denmark",5109.17,5.41,0.21,"5-10","0-1"
"DOM","Dominican Republic",503.33,13.1,5.21,"10-20","5-10"
"DZA","Algeria",457.5,15.24,6.66,"10-20","5-10"
"ECU","Ecuador",507.5,25.5,10.05,"20-30","10-20"
"EGY","Egypt",254.17,2.48,1.95,"2-5","1-3"
"ESP","Spain",2453.33,12.7,1.04,"10-20","1-3"
"ETH","Ethiopia",45.83,145.26,633.88,"50-","40-"
"FIN","Finland",4035,13.76,0.68,"10-20","0-1"
"FJI","Fiji",405.83,290.78,143.3,"50-","40-"
"FRA","France",3580,60.65,3.39,"50-","3-5"
"GBR","United Kingdom",3619.17,17.3,0.96,"10-20","0-1"
"GEO","Georgia",310,1.6,1.03,"0-2","1-3"
"GHA","Ghana",132.5,6.96,10.51,"5-10","10-20"
"GIN","Guinea",39.17,4.65,23.74,"2-5","20-40"
"GMB","Gambia",41.67,7.05,33.83,"5-10","20-40"
"GRC","Greece",1890,27.46,2.91,"20-30","1-3"
"GRD","Grenada",659.17,12.51,3.8,"10-20","3-5"
"GRL","Greenland",3534,67.44,3.82,"50-","3-5"
"GTM","Guatemala",285.83,10.08,7.05,"10-20","5-10"
"GUY","Guyana",328.33,0.55,0.33,"0-2","0-1"
"HKG","Hong Kong",3360,12.9,0.77,"10-20","0-1"
"HND","Honduras",189.17,7.83,8.28,"5-10","5-10"
"HRV","Croatia",1081.67,7.98,1.48,"5-10","1-3"
"HTI","Haiti",68.33,4.49,13.13,"2-5","10-20"
"HUN","Hungary",1111.67,26.13,4.7,"20-30","3-5"
"IDN","Indonesia",302.5,3.23,2.14,"2-5","1-3"
"IND","India",130.83,3.08,4.71,"2-5","3-5"
"IRL","Ireland",3879.17,12.32,0.64,"10-20","0-1"
"IRN","Iran",593.33,3.11,1.05,"2-5","1-3"
"IRQ","Iraq",541.67,10.85,4.01,"10-20","3-5"
"ISR","Israel",2943.33,4.9,0.33,"2-5","0-1"
"ITA","Italy",2855.83,5.53,0.39,"5-10","0-1"
"JAM","Jamaica",429.17,6.23,2.9,"5-10","1-3"
"JOR","Jordan",430,7.07,3.29,"5-10","3-5"
"JPN","Japan",3500,15.17,0.87,"10-20","0-1"
"KAZ","Kazakhstan",987.5,4.48,0.91,"2-5","0-1"
"KEN","Kenya",107.5,7.82,14.55,"5-10","10-20"
"KGZ","Kyrgyzstan",104.17,13.35,25.63,"10-20","20-40"
"KHM","Cambodia",85,5.36,12.62,"5-10","10-20"
"KOR","South Korea",2257.5,14.55,1.29,"10-20","1-3"
"KSV","Kosovo",332.5,11.77,7.08,"10-20","5-10"
"KWT","Kuwait",4108.33,4.15,0.2,"2-5","0-1"
"LAO","Laos",138.33,4.26,6.16,"2-5","5-10"
"LBN","Lebanon",835.83,15.16,3.63,"10-20","3-5"
"LBY","Libya",651.67,85.84,26.35,"50-","20-40"
"LCA","Saint Lucia",605,11.54,3.81,"10-20","3-5"
"LKA","Sri Lanka",288.33,1.41,0.98,"0-2","0-1"
"LSO","Lesotho",110.83,44.5,80.29,"30-50","40-"
"LUX","Luxembourg",6332.5,15.17,0.48,"10-20","0-1"
"MAR","Morocco",255.83,1.81,1.41,"0-2","1-3"
"MCO","Monaco",15637.5,10.66,0.14,"10-20","0-1"
"MDA","Moldova",213.33,4.48,4.2,"2-5","3-5"
"MDG","Madagascar",36.67,9.09,49.56,"5-10","40-"
"MDV","Maldives",534.17,10.18,3.81,"10-20","3-5"
"MEX","Mexico",822.5,19.11,4.65,"10-20","3-5"
"MLI","Mali",54.17,21.58,79.69,"20-30","40-"
"MMR","Myanmar [Burma]",105.83,3.95,7.46,"2-5","5-10"
"MOZ","Mozambique",50,7.66,30.64,"5-10","20-40"
"MUS","Mauritius",802.5,20.68,5.15,"20-30","5-10"
"MWI","Malawi",20.83,14.84,142.51,"10-20","40-"
"MYS","Malaysia",926.67,10.9,2.35,"10-20","1-3"
"NAM","Namibia",469.17,13,5.54,"10-20","5-10"
"NCL","New Caledonia",3282.67,40.22,2.45,"30-50","1-3"
"NER","Niger",34.17,11.47,67.13,"10-20","40-"
"NGA","Nigeria",247.5,19.9,16.08,"10-20","10-20"
"NIC","Nicaragua",155.83,6.57,8.43,"5-10","5-10"
"NLD","Netherlands",4324.17,27.71,1.28,"20-30","1-3"
"NOR","Norway",8635.83,6.13,0.14,"5-10","0-1"
"PSE","Nepal",60.83,5.36,17.61,"5-10","10-20"
"NZL","New Zealand",2562.5,26.15,2.04,"20-30","1-3"
"OMN","Oman",1405.83,9.6,1.37,"5-10","1-3"
"PAK","Pakistan",116.67,62.48,107.11,"50-","40-"
"PAN","Panama",927.5,9.08,1.96,"5-10","1-3"
"PER","Peru",530,15.34,5.79,"10-20","5-10"
"PHL","Philippines",291.67,8.77,6.01,"5-10","5-10"
"PNG","Papua New Guinea",186.67,24.85,26.63,"20-30","20-40"
"POL","Poland",1140.83,3.75,0.66,"2-5","0-1"
"ROU","Portugal",1780,12.9,1.45,"10-20","1-3"
"PRY","Paraguay",366.67,8.87,4.84,"5-10","3-5"
"QAT","Qatar",7683.33,12.32,0.32,"10-20","0-1"
"ROM","Romania",1505,5.9,0.78,"5-10","0-1"
"RUS","Russia",1101.67,4.67,0.85,"2-5","0-1"
"RWA","Rwanda",58.33,6.47,22.18,"5-10","20-40"
"SAU","Saudi Arabia",2095,34.76,3.32,"30-50","3-5"
"SDN","Sudan",142.5,1.73,2.43,"0-2","1-3"
