Currency_Code,USDxrate
USD,1.0000000000
EUR,0.8945561648
GBP,0.6377357304
INR,63.5658026888
AUD,1.3005486967
CAD,1.2414528700
SGD,1.3457208888
CHF,0.9361185846
MYR,3.7704550651
JPY,124.2598647392
CNY,6.2095361139
NZD,1.4564261176
THB,33.8098721200
HUF,278.0673871284
AED,3.6729496879
HKD,7.7529202727
MXN,15.4461565179
ZAR,12.1467376452
PHP,45.1244418637
SEK,8.2657347116
IDR,13315.9584055149
SAR,3.7496507816
BRL,3.0885495831
TRY,2.6784539401
KES,98.4005184653
KRW,1111.6203345092
EGP,7.6306156523
IQD,1190.4336749878
NOK,7.8765306707
KWD,0.3023989774
RUB,54.5172146522
DKK,6.6729453874
PKR,101.7249499768
ILS,3.7509202501
PLN,3.7326333106
QAR,3.6413464241
XAU,0.0008519236
OMR,0.3849999996
COP,2568.6432763074
CLP,632.6774493647
TWD,30.9907447786
ARS,9.0692031273
CZK,24.3774168844
VND,21807.5197951733
MAD,9.7288707746
JOD,0.7085477930
BHD,0.3769293885
XOF,586.7903781787
LKR,133.8369373957
UAH,21.1747378023
NGN,198.8468108739
TND,1.9455368742
UGX,3286.9866401002
RON,4.0007896054
BDT,77.7601953522
PEN,3.1769992100
GEL,2.2459888772
XAF,586.7903781787
FJD,2.0846477472
VEF,6.3496062736
BYR,15384.6381275023
HRK,6.7885346092
UZS,2550.8251919496
BGN,1.7495859189
DZD,98.9628691318
IRR,29404.5428753203
DOP,44.9199237783
ISK,132.1097934437
XAG,0.0629523253
CRC,533.7033676682
SYP,188.8217522659
LYD,1.3687791469
JMD,116.3874562657
MUR,35.1493602142
GHS,4.4148584179
AOA,109.9680023193
UYU,26.8399957808
AFN,60.0203838829
LBP,1507.4998115625
XPF,106.7489456775
TTD,6.3433165295
TZS,2304.6070311040
ALL,125.3646544386
XCD,2.7000000027
GTQ,7.6204997234
NPR,101.8159899976
BOB,6.8996375385
ZWD,361.9000000000
BBD,2.0000000000
CUC,1.0000000000
LAK,8110.2992728534
BND,1.3457208888
BWP,9.8669277061
HNL,21.9290022238
PYG,5151.7180979857
ETB,20.6519916368
NAD,12.1467376452
PGK,2.7360004703
SDG,5.9750005700
MOP,7.9855078809
NIO,27.2279027191
BMD,1.0000000000
KZT,186.2097366330
PAB,1.0000000000
BAM,1.7495997838
GYD,207.2027831478
YER,215.0246310715
MGA,3239.8133759763
KYD,0.8200001258
MZN,38.4935028741
RSD,107.6848194556
SCR,13.2146009042
AMD,472.9295077143
SBD,7.8554595444
AZN,1.0497597457
SLL,4179.3789442889
TOP,2.0731833731
BZD,2.0099502588
MWK,444.7706095581
GMD,40.7238584390
BIF,1558.7006671239
SOS,695.1879092919
HTG,47.2000007629
GNF,7485.5902387903
MVR,15.3499999537
MNT,1931.4713949086
CDF,927.2739037418
STD,21891.4185639229
TJS,6.2601998218
KPW,127.3473759372
MMK,1117.5431930444
LSL,12.1467376452
LRD,92.4999213751
KGS,60.7482114208
GIP,0.6377357304
XPT,0.0009324775
MDL,18.7194078545
CUP,26.5000000000
KHR,4111.8343240030
MKD,55.0485583333
VUV,108.6357844101
MRO,291.5000000000
ANG,1.7900000203
SZL,12.1467376452
CVE,98.8184543045
SRD,3.2992423787
XPD,0.0014357969
SVC,8.7500000000
BSD,1.0000000000
XDR,0.7117499982
RWF,721.1261105342
AWG,1.7900000000
DJF,177.1284641899
BTN,63.5658026888
KMF,440.0927836340
WST,2.5477707006
SPL,0.1666666667
ERN,10.4699971239
FKP,0.6377357304
SHP,0.6377357304
JEP,0.6377357304
TMT,3.5000000000
TVD,1.3005486967
IMP,0.6377357304
GGP,0.6377357304
ZMW,7.3399861043
